epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,248.992,0.88205,0.41466,0.78784,0.9272,0.76168,0.80495,0.54362,0.83123,0.41431,0.78768,0.00028475,0.00028475,0.00028475
80,251.611,0.87065,0.40885,0.78474,0.90697,0.77006,0.80823,0.54506,0.81385,0.41406,0.78641,0.000272375,0.000272375,0.000272375
81,254.249,0.86957,0.41248,0.7836,0.87092,0.72605,0.78851,0.53431,0.82441,0.41908,0.78764,0.00026,0.00026,0.00026
82,256.951,0.89659,0.41916,0.78719,0.85367,0.7418,0.79034,0.53017,0.8307,0.42091,0.78749,0.000247625,0.000247625,0.000247625
83,259.605,0.86455,0.41433,0.78623,0.87672,0.75671,0.79894,0.53625,0.81679,0.41023,0.78665,0.00023525,0.00023525,0.00023525
84,262.257,0.8533,0.40519,0.78455,0.95036,0.71866,0.80027,0.53765,0.83112,0.41498,0.78769,0.000222875,0.000222875,0.000222875
85,264.843,0.86452,0.409,0.78528,0.88239,0.75876,0.80432,0.53097,0.83151,0.41951,0.78843,0.0002105,0.0002105,0.0002105
86,267.537,0.86903,0.41145,0.78544,0.8471,0.74764,0.79457,0.53355,0.83553,0.41804,0.78766,0.000198125,0.000198125,0.000198125
87,270.147,0.86875,0.40762,0.78262,0.89931,0.74753,0.79478,0.54007,0.83079,0.42052,0.78702,0.00018575,0.00018575,0.00018575
88,272.777,0.85103,0.4036,0.78489,0.90532,0.72951,0.79355,0.54237,0.82688,0.41891,0.78683,0.000173375,0.000173375,0.000173375
89,275.372,0.8492,0.40233,0.78596,0.89691,0.73785,0.79595,0.52996,0.85502,0.42275,0.78984,0.000161,0.000161,0.000161
90,278.035,0.86175,0.4018,0.78225,0.87222,0.73169,0.79629,0.54174,0.82327,0.41825,0.78795,0.000148625,0.000148625,0.000148625
91,282.744,0.81222,0.39686,0.78663,0.88306,0.72228,0.78959,0.54079,0.82842,0.42042,0.78773,0.00013625,0.00013625,0.00013625
92,285.411,0.80408,0.39187,0.78695,0.9392,0.73024,0.79698,0.5436,0.82223,0.41823,0.78685,0.000123875,0.000123875,0.000123875
93,287.957,0.80784,0.39207,0.78292,0.93757,0.74433,0.79732,0.5434,0.82344,0.41908,0.78721,0.0001115,0.0001115,0.0001115
94,290.574,0.76725,0.37726,0.78539,0.86302,0.75384,0.79451,0.54693,0.84203,0.41927,0.78675,9.9125e-05,9.9125e-05,9.9125e-05
95,293.345,0.78535,0.38062,0.78407,0.94783,0.7288,0.80023,0.55119,0.83212,0.41295,0.78716,8.675e-05,8.675e-05,8.675e-05
96,296.151,0.78566,0.3781,0.78697,0.90375,0.75008,0.79805,0.5539,0.82423,0.4103,0.78705,7.4375e-05,7.4375e-05,7.4375e-05
97,298.863,0.8017,0.38485,0.78793,0.92211,0.75391,0.79874,0.55247,0.81954,0.41305,0.78735,6.2e-05,6.2e-05,6.2e-05
98,302.046,0.77694,0.37827,0.78394,0.89538,0.75618,0.79707,0.55305,0.82042,0.4074,0.78684,4.9625e-05,4.9625e-05,4.9625e-05
99,304.646,0.77183,0.3724,0.7833,0.89443,0.74485,0.7931,0.55786,0.8128,0.40272,0.78629,3.725e-05,3.725e-05,3.725e-05
100,307.479,0.79715,0.37936,0.78395,0.8891,0.7583,0.79877,0.55572,0.81582,0.40668,0.78645,2.4875e-05,2.4875e-05,2.4875e-05
